gene,beta_sex_M_vs_F_mixed,pval_sex_M_vs_F_mixed,qval_sex_M_vs_F_mixed
TMEM191C,-0.034259136027955654,0.7164215915537562,0.9636708345034791
UBE2L3,0.019362179690472985,0.539750221398424,0.9285567498408388
YDJC,0.16185416374428238,0.09390376793354527,0.654049305928637
SDF2L1,-0.028960743749081103,0.7713762489210063,0.9693942472103021
PPIL2,-0.03444167150189246,0.6224668615973701,0.9477203512042878
YPEL1,-0.005831287331449296,0.9503840373572797,0.9938320392340929
MAPK1,-0.08872716110358927,0.30658584979777237,0.842994572713037
PPM1F,-0.06521507839181673,0.5185904243693631,0.9235438016601227
AC245452.1,-0.025791359842374652,0.8081362165694965,0.976222934920792
TOP3B,-0.05189181422963719,0.45881728733321214,0.905269631056094
VPREB1,0.007389742922156838,0.9785715373233771,0.9969279719280831
AC245060.6,-0.03186246707040464,0.8296595966744797,0.9787823316121412
AC245060.5,0.015573971803314568,0.9292187870548889,0.9897727535163596
ZNF280B,-0.00338990837002953,0.9582860736620865,0.9954411886757487
IGLC1,-0.2992856064803514,0.034149743045077154,0.5065247388158397
IGLC2,-0.48249659458458916,0.20803653017491264,0.7773347409281579
IGLC3,-0.11068767967653519,0.6154866840978728,0.9456955471761506
BCR,-0.2114257755718118,0.021303282299957114,0.4461217424682475
LINC01659,-0.056452835041646034,0.7516668641198353,0.967543928926602
IGLL1,-0.09534530776692533,0.44427248642563033,0.8999585665692766
AP000345.2,-0.017748964297349498,0.84455032695536,0.9813323551724275
RGL4,0.0950514531250217,0.33737960174537496,0.8520342004280507
ZNF70,-0.048298550850868836,0.5740154389636286,0.9357750901805566
VPREB3,-0.2069708041883985,0.4337335898168264,0.8984917923345904
C22orf15,-0.05569818350749946,0.4054009715198911,0.8843341426827467
CHCHD10,-0.10119591818895664,0.14405188009844155,0.7165012187907703
SMARCB1,0.026707090960201307,0.6964016933953663,0.9595891055354282
DERL3,-0.22413745970202656,0.0462299435717117,0.5527066283399
SLC2A11,0.0009416812753814237,0.9899906223404161,0.9985159188138552
MIF,0.06813407400191705,0.2734914312437484,0.8274767255352057
AP000350.6,-0.32752189141871874,0.1265730000270283,0.694812797742729
DDT,0.023439742618769875,0.7433463728891582,0.965534206566032
CABIN1,-0.0689378743626554,0.4297562430769769,0.8967718390239864
SPECC1L,0.02061433182768754,0.8319000607585719,0.9791670712162904
ADORA2A,-0.012915061821265067,0.8951204313395257,0.9857793539305576
GUCD1,0.10186253540299733,0.047239882685524565,0.5590839565618456
SNRPD3,0.02164149627280215,0.6224248598016274,0.9477203512042878
LRRC75B,-0.07256029951039418,0.3911886221297164,0.8784581525536374
LRP5L,-0.10653025737545557,0.31343015212058356,0.8447828760086475
GRK3,0.04846726780762187,0.5267064617750257,0.9255750090698822
ASPHD2,-0.16083853558961075,0.15174930751237878,0.7239497461826166
HPS4,0.14142985756276463,0.08962646964641365,0.6478861217769347
SRRD,0.22727441681301916,0.049390849108621154,0.566156960285212
TFIP11,0.008437259884639581,0.8251175166165113,0.977920971612001
Z95115.1,0.06763653109403966,0.3624146314512001,0.8670887384225244
TPST2,0.014741394088601763,0.814719990450522,0.9772333976642704
MIAT,-0.062128698938647045,0.4664678375375364,0.9079598334944563
MIATNB,0.05701998351845642,0.2780123205686539,0.8303817874941318
MN1,-0.23256536044853549,0.10356071412462528,0.6720500004138208
