gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
CTNNBL1,0.05187169421031202,0.3359102670734462,0.7544728143533233
TTI1,0.06307062814433657,0.23170245729778588,0.6731373408238573
RPRD1B,0.04103225656159372,0.27112535326661924,0.6996715102041279
TGM2,0.3202072392541174,0.032140780826439744,0.3755549897415603
SNHG17,0.07551251091324165,0.6547548580870584,0.9076597509049334
SNHG11,0.14301610593229627,0.026411854247574282,0.35465393482850627
RALGAPB,-0.013504177332152997,0.8310916606553913,0.9602218821961631
ACTR5,0.14464764107473163,0.04937791205690576,0.42111214174304423
PPP1R16B,-0.12985829878113014,0.2785537721325741,0.7082093215418269
FAM83D,0.2722900588221431,0.047584601214180684,0.41368593554356675
DHX35,0.07897848679252396,0.22320568618426048,0.667161763788698
MAFB,0.28496165003353685,0.29371509892759745,0.7214248204877259
TOP1,0.013130499323358642,0.7541509483928488,0.9384774837669855
ZHX3,0.10616073546648497,0.22241809183651934,0.667146177636583
CHD6,0.03609245509991842,0.5379690231484768,0.8623062747219026
SRSF6,-0.072430085268319,0.3051981197451275,0.7319446118765189
L3MBTL1,0.016459288813007223,0.8451165962652175,0.962725096805336
IFT52,0.08567200283562247,0.051350689221758165,0.4274702657479189
MYBL2,-0.035147921785496306,0.5733727095805559,0.8791421440826347
OSER1,-0.07496427239949784,0.24780405643629944,0.6867354273640297
OSER1-DT,0.07493954794187915,0.25377588957263514,0.6907925559079399
TTPAL,0.04362635453362751,0.5621639244664155,0.8739911064075173
SERINC3,0.04328414861316241,0.47138059306654145,0.8343803265554944
PKIG,0.23642914750533123,0.01255411002852174,0.2802542318593557
ADA,-0.19308360113444878,0.010869647725495663,0.2684055452518918
YWHAB,-0.01803454021069148,0.717693491233238,0.9247803069458064
PABPC1L,-0.08917976267002208,0.3150050605372436,0.740278810262688
TOMM34,0.05460647283777236,0.3682995256992009,0.7741484075201878
STK4,-0.06299651502380513,0.3273953644556896,0.7471388006785358
SDC4,-0.18397253145740994,0.06806659023656154,0.46596722458470835
SYS1,-0.04348356571585201,0.35287780784609335,0.7652573735260252
DBNDD2,-0.13588145473320998,0.09024785171787694,0.5016538244649111
PIGT,0.027480205370861616,0.6035014604011364,0.8888049661172379
AL031663.3,-0.045845447746545726,0.5143933358610976,0.8543744752738722
